Region,Venue Name,Suburb / Location,Type,Courts,Surface,Line Marking / Metadata,Notes
Inner / City,The Jar Pickleball Club,South Melbourne,Commercial,4,Carpet,Dedicated (Perm. Nets),First dedicated indoor club in CBD fringe.
Inner / City,MSAC (Southside),Albert Park,State Centre,2–8,Wood,Shared (Badminton Overlay),Multi-sport visual noise; high-performance floor.
Inner / City,Melb. Sports Centre (Parkville),Parkville,State Centre,Var.,Wood,Shared (Netball/Badm),Home of Melbourne Uni Pickleball Club.
Inner / City,Clifton Hill Pickleball,Clifton Hill,Club,4,Syn/Hard,Shared (Tennis Overlay),Outdoor facility shared with tennis/netball.
Inner / City,Carlton Baths,Carlton,Council,Shared,Wood,Shared (Multi-sport),YMCA managed; social sessions.
Inner / City,Kensington Comm. Rec. Centre,Kensington,Council,Shared,Wood,Shared (Multi-sport),YMCA managed; social sessions.
Inner / City,North Melb. Rec. Centre,Nth Melbourne,Council,Shared,Wood,Shared (Multi-sport),YMCA managed; social sessions.
South East,Pickle Play,Bentleigh East,Commercial,8,Acrylic,Dedicated (Perm. Nets),Full fencing; wellness centre (sauna/ice).
South East,Pickleholic,Clayton,Commercial,7,Hard,Dedicated (Stadium),"""Stadium"" concept near Monash Uni. "
South East,Melbourne Pickle Club,Moorabbin,Commercial,4,Acrylic,Dedicated (24/7 Access),3-coat acrylic; 24/7 automated access.
South East,Kingston Pickleball Centre,Cheltenham,Commercial,3,Cushioned,Dedicated,Premium cushioned surface.
South East,Badminton Connect,Noble Park,Commercial,Multi,Wood,Shared (Badminton Overlay),High visual conflict with badminton lines.
South East,Badminton Connect,Hallam,Commercial,Multi,Wood,Shared (Badminton Overlay),High visual conflict with badminton lines.
South East,Springers Leisure Centre,Keysborough,Council,4,Wood,Shared (Multi-sport),Home to U3A groups.
South East,Bayside Pickleball Club,Hampton,Club,4,Wood,Shared (Netball/Badm),Waitlists common; permanent lines reported.
South East,Stonnington Sports Centre,Malvern East,Council,Shared,Wood,Shared (Multi-sport),Margaret Connellan Stadium.
East,Level Up Pickleball,Wantirna South,Commercial,4,Acrylic,Dedicated,Located inside Westfield Knox (Ozone).
